timestamp,value,label,bk_ts_diff,bk_ts_diff2,rate_last_day,rate_last_week,diff_last_day,diff_last_week,bk_ts_ewma_zscore,bk_ts_slope,bk_ts_rate_slope,bk_ts_rate_sum,bk_ts_turning_point,bk_ts_increasing,skew,kurt,range,coefficient_of_variation,binned_entropy,diff_quantile_of_history,diff_max_of_history,diff_min_of_history,diff_mean_of_history,diff_median_of_history,rate_quantile_of_history,rate_max_of_history,rate_min_of_history,rate_mean_of_history,rate_median_of_history
1489420740,0.26300578034682076,1.0,0.044797687861271696,0.021676300578034713,1.218647901482785,0.4219471660972372,0.04718808597684765,-0.36030870421168293,3.0,0.03034682080924853,2.075577326801963,1.0212524794559363,0.0,0.20529801324503327,0.5355840766362177,-0.1511947336439654,0.15895953757225434,0.2204652886322867,2.1486700001769883,-0.1015173410404624,-0.3627167630057804,0.15895953757225434,-0.09513487475915222,-0.1015173410404624,1.3582089552238807,0.7459016393442621,2.5277777777777786,1.3091955401031055,1.3582089552238807
1489420800,0.27023121387283233,1.0,0.007225433526011571,-0.037572254335260125,1.0941247519627297,0.3834947905516306,0.02324729966371708,-0.4344229836043316,3.0,0.04490606936416182,2.0495616992582626,1.0080466148723641,0.0,0.027472527472527517,0.562561942968149,-0.24564017499746615,0.1661849710982659,0.23568709767732543,2.1846608955502473,-0.09284682080924855,-0.3554913294797688,0.1661849710982659,-0.08667308927424527,-0.09284682080924855,1.3955223880597019,0.7663934426229507,2.597222222222223,1.3540912382331645,1.3955223880597019
1489420860,0.27023121387283233,1.0,0.0,-0.007225433526011571,1.0941247519627297,0.3834947905516306,0.02324729966371708,-0.4344229836043316,3.0,0.07276011560693639,1.3291659812469157,1.0173410404624277,0.0,0.0,0.6549482684614316,-0.22132131014831202,0.1661849710982659,0.24665187634496685,2.1677819231707462,-0.0917630057803468,-0.3554913294797688,0.1661849710982659,-0.08547687861271669,-0.0917630057803468,1.3955223880597019,0.869767441860465,2.597222222222223,1.3634706525701783,1.3955223880597019
1489420920,0.29552023121387283,1.0,0.0252890173410405,0.0252890173410405,1.157260328008132,0.419383340469564,0.04015830091896666,-0.4091339662632911,3.0,0.09500541907514448,1.2718440594059413,1.0234036796536796,0.0,0.09358288770053491,0.7192294300137128,-0.24043423628372462,0.1914739884393064,0.2671781440892607,2.0299396107677956,-0.06575144508670516,-0.3302023121387283,0.1914739884393064,-0.05882305716120739,-0.06575144508670516,1.526119402985075,0.9831730769230771,2.840277777777779,1.4961590049993903,1.526119402985075
1489420980,0.3208092485549132,1.0,0.025289017341040387,-1.1102230246251565e-16,1.2562923854171404,0.41551575348041997,0.06544731826000705,-0.45126556658210293,3.0,0.11880419075144508,1.198024619276991,1.03172504957039,0.0,0.0855745721271391,0.7982486018678984,-0.10577066139016411,0.2167630057803468,0.2912276274037333,2.105248163763599,-0.03973988439306364,-0.3049132947976879,0.2167630057803468,-0.03234987154784846,-0.03973988439306364,1.6567164179104479,1.085574572127139,3.0,1.624885635864593,1.6567164179104479
1489421040,0.3403179190751445,1.0,0.019508670520231308,-0.005780346820809079,1.2354120079321553,0.4320214776111304,0.06484875017434033,-0.44741587822803086,3.0,0.1397579479768786,1.2506193396417986,1.0267777065983346,0.0,0.06081081081081112,0.8320397507423981,-0.04431937563100563,0.2362716763005781,0.3122774588549803,2.1030152131493423,-0.01589595375722541,-0.2854046242774566,0.2362716763005781,-0.011612877328195215,-0.01589595375722541,1.757462686567165,1.0608108108108112,3.0,1.7130387343153304,1.757462686567165
1489421100,0.37825144508670505,1.0,0.037933526011560526,0.018424855491329217,1.256906806390566,0.5563660091198559,0.07731310728509655,-0.3016093639607069,3.0,0.17379425578034682,1.193982594011821,1.0378712253556275,0.0,0.11146496815286575,0.9539095164385407,0.23194872748028228,0.27420520231213863,0.34449239114449004,2.074658783707147,0.02854046242774555,-0.24747109826589608,0.27420520231213863,0.02715157353885672,0.02854046242774555,1.9533582089552237,1.1114649681528657,3.0,1.886486486486486,1.9533582089552237
1489421160,0.7119207140813869,1.0,0.33366926899468186,0.29573574298312133,2.1721589067677494,1.069043580452716,0.38417272480524756,0.04597900029278312,3.0,0.26196237377465315,1.483216149598709,1.095857922246906,0.0,0.8821361380871822,2.867178746032271,3.0,0.6078744713068205,0.5221152021071729,1.4558291267879369,0.3622097314224274,0.08619817072878577,0.6078744713068205,0.3617460994378417,0.3622097314224274,3.0,1.8821361380871822,3.0,3.0,3.0
1489421220,1.0,1.0,0.2880792859186131,-0.04558998307606876,1.7943475646422131,1.5778997940974606,0.44269436997319045,0.3662461939973902,3.0,0.3926090657156879,1.515390880331274,1.1298986510891045,0.0,0.4046507991979565,3.0,3.0,0.8959537572254336,0.7265975146419081,1.2587524426184753,0.6502890173410405,0.2880792859186131,0.8959537572254336,0.6489611501754631,0.6502890173410405,3.0,1.4046507991979564,3.0,3.0,3.0
1489421280,0.9255640622996677,1.0,-0.0744359377003323,-0.3625152236189454,1.9560079050298926,1.1947623690213005,0.45237371377419855,0.1508794168016251,3.0,0.5002311002627658,1.2730480591207434,1.1055444173102895,1.0,-0.0744359377003323,2.5429379645057857,3.0,0.8959537572254336,0.7912633370851471,1.3346999322372963,0.5758530796407082,-0.0744359377003323,0.8215178195251013,0.572020395519447,0.5758530796407082,3.0,0.9255640622996677,3.0,3.0,3.0
